"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"OVTI","OmniVision Technologies, Inc.","13.345","698810925","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ovti",
"ASGN","On Assignment, Inc.","15.11","784601860","n/a","1992","Technology","Professional Services","http://www.nasdaq.com/symbol/asgn",
"ONNN","ON Semiconductor Corporation","6.7","3042349400","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/onnn",
"OTIV","On Track Innovations Ltd","1.4","43589000","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/otiv",
"OGXI","OncoGenex Pharmaceuticals Inc.","13.46","195708400","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/ogxi",
"ONCY","Oncolytics Biotech, Inc.","3.31","235840810","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/oncy",
"ONTY","Oncothyreon Inc.","4.68","267359040","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/onty",
"ONFC","Oneida Financial Corp.","9.91","68507830","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/onfc",
"ORCC","Online Resources Corporation","2.3","74467100","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/orcc",
"ONSM","Onstream Media Corporation","0.58","7131100","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/onsm",
"ONVI","Onvia, Inc.","3.96","33719400","n/a","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/onvi",
"ONXX","ONYX Pharmaceuticals, Inc.","65.19","4196215110","n/a","1996","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/onxx",
"OTEX","Open Text Corporation","47.3","2750400400","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/otex",
"OPEN","OpenTable, Inc.","43.47","981030960","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/open",
"OPXA","Opexa Therapeutics, Inc.","0.41","9449680","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/opxa",
"OPXAW","Opexa Therapeutics, Inc.","0.0307","107450","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/opxaw",
"OPLK","Oplink Communications, Inc.","13.07","249166480","n/a","2000","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/oplk",
"OPNT","OPNET Technologies Inc.","25.74","580771620","n/a","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/opnt",
"OPXT","Opnext, Inc.","1.2","108364800","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/opxt",
"OBAS","Optibase Ltd.","1.23","23457330","n/a","1999","Finance","Real Estate","http://www.nasdaq.com/symbol/obas",
"OCC","Optical Cable Corporation","4.52","30256880","n/a","1987","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/occ",
"OPTR","Optimer Pharmaceuticals, Inc.","14.93","702516220","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/optr",
"OPHC","OptimumBank Holdings, Inc.","0.7","18585000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ophc",
"ORCL","Oracle Corporation","27.62","137412427720","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/orcl",
"OSUR","OraSure Technologies, Inc.","10.25","493886000","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/osur",
"ORBC","ORBCOMM Inc.","3.29","153725250","n/a","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/orbc",
"ORBT","Orbit International Corporation","3.64","16882320","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/orbt",
"ORBK","Orbotech Ltd.","9.27","401641290","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/orbk",
"OSH","Orchard Supply Hardware Stores Corporation","15.98","76879780","n/a","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/osh",
"ORLY","O&#39;Reilly Automotive, Inc.","95.23","12007645930","n/a","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/orly",
"OREX","Orexigen Therapeutics, Inc.","4.055","274839790","n/a","1994","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/orex",
"SEED","Origin Agritech Limited","1.4499","33903011.7","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/seed",
"ORIT","Oritani Financial Corp.","13.96","634509920","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/orit",
"ORRF","Orrstown Financial Services Inc","8.24","66447360","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/orrf",
"OFIX","Orthofix International N.V.","39.66","742831800","n/a","1992","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ofix",
"OSIS","OSI Systems, Inc.","61.39","1218898450","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/osis",
"OSIR","Osiris Therapeutics, Inc.","12.74","418547220","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/osir",
"OSN","Ossen Innovation Co., Ltd.","0.96","19200000","n/a","2010","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/osn",
"OTT","Otelco, Inc.","7.06","93340260","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ott",
"OTTR","Otter Tail Corporation","22.25","804649000","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ottr",
"OUTD","Outdoor Channel Holdings, Inc.","7.08","182494080","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/outd",
"OVRL","Overland Storage, Inc.","1.66","45807700","n/a","1997","Technology","Electronic Components","http://www.nasdaq.com/symbol/ovrl",
"OSTK","Overstock.com, Inc.","6.78","158794380","n/a","2002","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/ostk",
"OXLC","Oxford Lane Capital Corp.","14.1","34615500","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/oxlc",
"OXGN","OXiGENE, Inc.","0.7","11319700","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/oxgn",
"OXBT","Oxygen Biotherapeutics, Inc.","1.54","44689260","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/oxbt",
"OYOG","OYO Geospace Corporation","81.48","519272040","n/a","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/oyog",
"PFIN","P & F Industries, Inc.","4.808","17390536","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/pfin",
"PTSI","P.A.M. Transportation Services, Inc.","9.57","83278140","n/a","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ptsi",
"PFCB","P.F.Chang&#39;s China Bistro, Inc.","51.43","1087847360","n/a","1998","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/pfcb",
"PCAR","PACCAR Inc.","37.48","13368628760","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/pcar",
